# aip_tip_1481298011.out
#
# Format: <prover> <axiom type> <tip file> <status> <computation time in seconds>
#
# The status column indicates whether a proof was found:
# Success indicates a proof was found.
# Failure indicates that the problem (with induction axioms) does not admit a proof.
# Error indicates abnormal termination.
#
# The TIP problems which are not listed below either terminated abnormally or
# reached the timeout (600 s).

escargot sequential ./../benchmarks/benchmarks/tip2015/propositional_AndCommutative.smt2 error -1
escargot sequential ./../benchmarks/benchmarks/tip2015/sort_BSortIsSort.smt2 error -1
escargot sequential ./../benchmarks/benchmarks/tip2015/list_z_elem.smt2 success 0.92
escargot sequential ./../benchmarks/benchmarks/tip2015/list_elem.smt2 success 1.00
escargot sequential ./../benchmarks/benchmarks/tip2015/list_elem_map.smt2 success 1.01
escargot sequential ./../benchmarks/benchmarks/tip2015/sort_MSortTDPermutes.smt2 error -1
escargot sequential ./../benchmarks/benchmarks/tip2015/heap_minimum.smt2 success 5.07
escargot sequential ./../benchmarks/benchmarks/tip2015/sort_MSortBU2Count.smt2 error -1
escargot sequential ./../benchmarks/benchmarks/tip2015/nat_boring_min_idem.smt2 success 1.91
escargot sequential ./../benchmarks/benchmarks/tip2015/list_return_2.smt2 success 2.49
escargot sequential ./../benchmarks/benchmarks/tip2015/sort_StoogeSort2Permutes.smt2 error -1
escargot sequential ./../benchmarks/benchmarks/tip2015/sort_StoogeSort2Sorts.smt2 error -1
escargot sequential ./../benchmarks/benchmarks/tip2015/regexp_RecPlus.smt2 error -1
escargot sequential ./../benchmarks/benchmarks/tip2015/nat_eq_sym.smt2 success 3.77
escargot sequential ./../benchmarks/benchmarks/tip2015/list_return_1.smt2 failure 0.94
escargot sequential ./../benchmarks/benchmarks/tip2015/nat_eq_refl.smt2 success 1.55
escargot sequential ./../benchmarks/benchmarks/tip2015/list_z_elem_map.smt2 success 0.76
escargot sequential ./../benchmarks/benchmarks/tip2015/int_add_ident_left.smt2 success 3.13
escargot sequential ./../benchmarks/benchmarks/tip2015/nat_boring_ge_antisym.smt2 success 6.72
escargot sequential ./../benchmarks/benchmarks/tip2015/sort_StoogeSort2Count.smt2 error -1
escargot sequential ./../benchmarks/benchmarks/tip2015/regexp_RecEps.smt2 error -1
escargot sequential ./../benchmarks/benchmarks/tip2015/mccarthy91_M1.smt2 error -1
escargot sequential ./../benchmarks/benchmarks/tip2015/sort_MSortTDSorts.smt2 error -1
escargot sequential ./../benchmarks/benchmarks/tip2015/regexp_RecStar.smt2 error -1
escargot sequential ./../benchmarks/benchmarks/tip2015/weird_nat_add3_rot.smt2 success 6.01
escargot sequential ./../benchmarks/benchmarks/tip2015/sort_StoogeSortIsSort.smt2 error -1
escargot sequential ./../benchmarks/benchmarks/tip2015/nat_boring_max_min_distrib.smt2 success 5.25
escargot sequential ./../benchmarks/benchmarks/tip2015/nat_boring_ge_reflexive.smt2 success 1.58
escargot sequential ./../benchmarks/benchmarks/tip2015/nat_le_reflexive.smt2 success 1.88
escargot sequential ./../benchmarks/benchmarks/tip2015/sort_NStoogeSortCount.smt2 error -1
escargot sequential ./../benchmarks/benchmarks/tip2015/weird_nat_add3_spec.smt2 success 3.16
escargot sequential ./../benchmarks/benchmarks/tip2015/nat_lt_ne.smt2 success 4.01
escargot sequential ./../benchmarks/benchmarks/tip2015/regexp_SeqDistrPlus.smt2 error -1
escargot sequential ./../benchmarks/benchmarks/tip2015/tree_Flatten2.smt2 failure 1.31
escargot sequential ./../benchmarks/benchmarks/tip2015/sort_BubSortCount.smt2 error -1
escargot sequential ./../benchmarks/benchmarks/tip2015/nat_max_assoc.smt2 success 4.44
escargot sequential ./../benchmarks/benchmarks/tip2015/sort_BSortSorts.smt2 error -1
escargot sequential ./../benchmarks/benchmarks/tip2015/sort_BSortPermutes.smt2 error -1
escargot sequential ./../benchmarks/benchmarks/tip2015/propositional_Okay.smt2 error -1
escargot sequential ./../benchmarks/benchmarks/tip2015/nat_acc_plus_assoc.smt2 success 3.39
escargot sequential ./../benchmarks/benchmarks/tip2015/regexp_RecSeq.smt2 error -1
escargot sequential ./../benchmarks/benchmarks/tip2015/nat_pow_one.smt2 success 2.45
escargot sequential ./../benchmarks/benchmarks/tip2015/sort_BSortCount.smt2 error -1
escargot sequential ./../benchmarks/benchmarks/tip2015/nat_boring_gt_asymmetric.smt2 success 3.21
escargot sequential ./../benchmarks/benchmarks/tip2015/nat_le_ge_eq.smt2 success 4.60
